цууны	цуу @@ы
хөөс	хөөс
хөдөлгөх	хөдлөх @@гөх
ачлалыг	ач @@лах @@л @@ыг
үрчлээ	үрчл @@ээ
тайлангийн	тайлан @@ийн
савлуураар	сав @@лах @@уур @@аар
санхүүгээр	сан @@хүү @@ээр
бэлхүүсэвчийн	бэлхүүс @@вч @@ийн
соёлждог	соёлж @@дох @@г
савхийг	савхи @@ийг
ганхалт	ганхах @@лт
хэрүүлтэй	хэрүүл @@тэй
хавцлыг	хавцах @@л @@ыг
солилцоогоор	солих @@лцоо @@оор
солиог	солио @@г
зулайгаар	зулай @@аар
сунгах	сун @@гах
дуульд	дууль @@д
галзуурах	галзуу @@рах
амталгааг	амтлах @@гаа @@г
ашиглалтаас	ашиг @@лах @@лт @@аас
хураангуй	хураах @@нгуй
авиагаар	авиа @@аар
тэвчээрт	тэвчих @@ээр @@т
чансааны	чанс @@аа @@ы
сэдвийг	сэдэв @@ийг
оньс	оньс
үсрэлтэд	үсрэх @@лт @@д
оршихуй	оршихой
хувьсалтай	хувь @@сах @@л @@тай
тохуунаас	тохуу @@аас
хөтөлбөрт	хөтлөх @@бөр @@т
өмхий	өмхий
үхэх	үхэх
томыг	том @@ыг
өөдсийг	өөдөс @@ийг
тэмүүлэх	тэмүү @@лэх
консулаар	консул @@аар
гадилтай	гадил @@тай
аргаар	арга @@аар
өлсгөлөнг	өлсөх @@гөлөн @@г
иогтой	иог @@той
далайцтай	далай @@ц @@тай
хандлагаа	хандалага @@аа
дамчинд	дамчин @@д
барцдаас	барцад @@аас
оврыг	овор @@ыг
аймгаар	аймаг @@аар
онцлогийг	онц @@лог @@ийг
амьжиргаагаар	амьжих @@ргаа @@аар
алдартныг	алдарт @@ыг
сэжүүртэй	сэжүүр @@тэй
тэнгис	тэнгис
буудлагатай	буу @@дах @@лага @@тай
дайснаар	дайн @@саар
зараагаар	зараа @@аар
удирдлагатай	удирдах @@лага @@тай
зөөвөрлөх	зөөх @@вөр @@лөх
дагагчаар	дагах @@гч @@аар
зүхлээр	зүхлэх @@ээр
нуураа	нуур @@аа
цагдаагаас	цагдах @@аа @@ас
харьцаатай	харих @@цаа @@тай
шатнаас	шат @@аас
байгаа	бай @@аа
үнэг	үнэг
толгойгоо	толгой @@оо
гял	гял
өгөөшийг	өгөх @@өөш @@ийг
зарцтай	зарц @@тай
луйврыг	луйвар @@ыг
стратегийн	стратеги @@ийн
ичгүүр	ичигүүр
судалгаа	судах @@лга @@аа
холгодсоо	холгодос @@оо
хугацааны	хугацаа @@ы
загасчлалаар	загас @@члах @@л @@аар
романаас	роман @@аас
хэрэглэгчид	хэрэглэх @@гч @@д
энэрлээ	энэрэх @@л @@ээ
нээлтийг	нээх @@лт @@ийг
өндгөө	өндөг @@өө
өтгөрөх	өтгөрөх
ширгээс	ширэг @@ээс
мангастай	мангас @@тай
сувдаа	сувд @@аа
довтлолт	довтлох @@лт
гарлаа	гарах @@л @@аа
шавааралдуулах	шавах @@рах @@лдах @@уулах
туяанаас	туяа @@аас
гэлэнмаагаар	гэлэн @@маа @@аар
коллежоор	коллеж @@оор
хэрүүл	хэрүүл
сөнөөгчөөс	сөнөөх @@гч @@өөс
нийлэмжид	нийлэх @@мж @@д
үргүйдлийн	үр @@гүй @@дэх @@л @@ийн
сүүнээс	сүү @@ээс
бараагаа	бараа @@аа
хоцрогдолд	хоцрох @@гдол @@д
хуйвалдаан	хуйвалдах @@аан
гогцоонд	гогцоо @@д
аалзнаас	аалз @@аас
жодоо	жод @@оо
мөөгөнд	мөөг @@д
өтгөрүүлэх	өтгөрөх @@үүлэх
шилжилтийг	шилжих @@лт @@ийг
төвөөр	төв @@өөр
эмээл	эмээх @@л
дагагчаа	дагах @@гч @@аа
заагчид	заах @@гч @@д
эргүүгээр	эргэх @@үү @@ээр
ёроолын	ёроол @@ын
бүрэлбаанд	бүрэлбаа @@д
санаачлагчаар	санах @@аа @@лах @@гч @@аар
идеализмыг	идеализм @@ыг
нөмрөг	нөмрөх @@г
ирвэгнэх	ирвэгнэх
ургацгийг	ургах @@ц @@г @@ийг
цогцолборт	цогцлох @@бор @@т
бүрээсний	бүрээс @@ий
цуглуулга	цуг @@лах @@уулага
нийлбэрээр	нийлэх @@бэр @@ээр
исэлтээс	исэх @@лт @@ээс
ууршилт	уур @@ших @@лт
адилсалтай	адил @@сах @@л @@тай
эргүүлэгтэй	эргэх @@үүлэг @@тэй
мэргэжилтнийг	мэргэжих @@лт @@ийг
хямдралаас	хямд @@рах @@л @@аас
хатуулга	хатуулах @@га
уралдаантай	уралдах @@аан @@тай
үүсэх	үүсэх
чуулгыг	чуух @@лга @@ыг
сонсдог	сонс @@дог
адилтгах	адил @@тгах
хардалтын	хардах @@лт @@ын
ухуулах	ухах @@уулах
ихэсгэх	ихэсэг @@х
жараахайг	жараахай @@г
тэрслэгчээс	тэрс @@лэх @@гч @@ээс
дамаар	дам @@аар
тулаан	тулах @@аан
продакшны	продакшн @@ы
егөөдөлтэй	егөө @@дөх @@л @@тэй
компанийг	компани @@ийг
хамтатгалтай	хамт @@тгах @@л @@тай
алдаанаас	алдах @@аа @@аас
үүргэвчээр	үүргэвч @@ээр
орцын	орц @@ын
хонийг	хонь @@ийг
давтлагаас	давтах @@лага @@аас
туяаны	туяа @@ы
угтах	угтах
хөдсийг	хөдөс @@ийг
оролцоогоор	орох @@лцоо @@оор
суудлаа	суух @@дал @@аа
урианаас	уриа @@аас
бэхжилтээс	бэх @@жих @@лт @@ээс
гэрээгээр	гэрээ @@ээр
гайхамшгийг	гайхамшиг @@ийг
дуулгыг	дуу @@лах @@га @@ыг
найруулгаас	найрах @@уулах @@га @@ас
доргиогоо	доргио @@оо
хавтсаар	хавтас @@аар
аймаг	аймаг
дэнс	дэнс
үүсвэр	үүсэх @@вэр
харамсалд	харамсах @@л @@д
алхаагаа	алхаа @@аа
барзгар	барзгар
ачаагаар	ачиа @@аар
ятгалгад	ятгах @@лга @@д
гүйцэтгэлийн	гүйцэд @@гэх @@л @@ийн
цэцэрлэгжүүлэх	цэцэрлэг @@жих @@үүлэх
аргыг	арга @@ыг
найдах	найдах
хошингоос	хошин @@оос
шийдэд	шийд @@д
нүхэнд	нүх @@д
гуалингаар	гуалин @@аар
янз	янз
хоримогц	хорих @@могц
исэлтээ	исэлт @@ээ
лазераар	лазер @@аар
биллиардын	биллиард @@ын
хүрмээ	хүрэм @@ээ
нийлүүлэлтээс	нийлэх @@үүлэх @@лт @@ээс
эмнэлгээс	эмнэх @@лэг @@ээс
жорлонгоос	жорлон @@оос
лимбэдмээр	лимбэ @@дэх @@мээр
халамжийн	халамж @@ийн
будах	будах
атомын	атом @@ын
өнгөлөлгүй	өнгө @@лөх @@лгүй
байлдаан	байлдах @@аан
тосоор	тос @@оор
уянга	уян @@аа
цөөрмөө	цөөрөм @@өө
хориглолтоор	хорих @@г @@лох @@лт @@оор
галууг	галуу @@г
довцгоо	довцог @@оо
зуучлагчаар	зууч @@лах @@гч @@аар
сургуулийг	сургах @@ууль @@ийг
ангиллаас	анги @@лах @@л @@аас
шөрмөсний	шөрмөс @@ий
сүлжих	сүлжих
сэтгүүлчийн	сэтгэх @@үүл @@чийн
философийг	философи @@ийг
зохиомжид	зохиох @@мж @@д
савхдангаа	савх @@дах @@нгаа
тэсвэрийг	тэсэх @@вэр @@ийг
урагшилцгаа	урагш @@лах @@цгаа
философиор	философи @@ор
хулмастай	хулмас @@тай
зөрөлдөөний	зөрөлдөх @@өөн @@ий
микробиологио	микро @@биологи @@о
трамвайтай	трамвай @@тай
галлалтад	гал @@лах @@лт @@д
ёжлолтой	ёж @@лох @@л @@той
төрийн	төр @@ийн
шилбэнд	шилбэн @@д
бясалгалтай	бясах @@лгах @@л @@тай
гэрлэлтийн	гэр @@лэх @@лт @@ийн
чидунд	чидун @@д
студиэ	студи @@ээ
майонезад	майонез @@д
ажиллазна	ажил @@лах @@на
гаргалттай	гаргах @@лт @@тай
үйлчилгээтэй	үйл @@члэх @@гээ @@тэй
олборлолтыг	олбор @@лох @@лт @@ыг
цавинд	цавь @@д
гацуурын	гацуур @@ын
хориг	хориг
гараа	гар @@аа
ферментээр	фермент @@ээр
тэсвэртэй	тэсэх @@вэр @@тэй
түрээсийг	түрээс @@ийг
өрцнөөс	өрц @@өөс
хавраа	хавар @@аа
бэсрэгийг	бэсрэг @@ийг
чиргүүл	чирэх @@гүүл
холестерин	холестерин
төслийг	төсөл @@ийг
асфальт	асфальт
зангиагаар	зангиа @@аар
ёсгүй	ёс @@гүй
товчлолтой	товч @@лох @@л @@той
босуулаа	босох @@уул @@аа
цөмчөөсэй	цөмчих @@өөсэй
баганаа	багана
бүртгэлээр	бүртгэх @@л @@ээр
фронтоо	фронт @@оо
дархлаагаар	дархлах @@аа @@аар
боолтоо	боох @@лто
ламптай	ламп @@тай
тасалбарын	тас @@лах @@бар @@ын
бөглөө	бөглөх @@өө
бүтэлгүйтлээ	бүтэх @@лгүй @@тэл
хагарал	хагарах @@л
хоригоор	хорих @@г @@оор
ухуулгаар	ухах @@уулах @@га @@ар
эрдэмтнийг	эрдэм @@тэн @@ийг
компаниас	компани @@ас
хурлаас	хурал @@аас
шивнэх	шивнэх
баашны	бааш @@ы
хүндрэлийг	хүнд @@рэх @@л @@ийг
хүйтнийг	хүйтэн @@ийг
хутгаа	хутга @@аа
тэлэлтээр	тэлэх @@лт @@ээр
хэмжээгээ	хэм @@жих @@эээ
албаждаг	алба @@жих @@даг
канон	канон
зогсоолоос	зогсох @@оо @@лос
видеог	видео @@г
амьдчилах	амь @@д @@члах
таамаглалыг	таах @@маг @@лах @@л @@ыг
хохирлыг	хохирох @@л @@ыг
дараалах	дараа @@лах
луугаа	луу @@аа
сайжруулалтаар	сайн @@жрах @@уулах @@лт @@ар
ирмэгтэй	ирмэг @@тэй
амиа	ами @@а
шүтээн	шүтэх @@ээн
хуваагдлаас	хуваах @@гдах @@л @@аас
дэвших	дэвших
зохицлыг	зохих @@цох @@л @@ыг
өндөгний	өндөг @@ий
хачирхал	хачин @@рхах
тогтолцоо	тогтох @@лцоо
шилэх	шилэх
тэтгэмжийг	тэтгэх @@мж @@ийг
хурдасгуурт	хурд @@сах @@гах @@уур @@т
гаансыг	гаанс @@ыг
сумангаар	сум @@н @@аар
чадвараа	чадах @@вар @@аа
мастерын	мастер @@ын
хэвшлээ	хэвшил @@ээ
өрсөлдөгчөө	өрсөх @@лдөх @@гч @@өө
томдох	томдох
ээтийвэл	ээтийх @@вэл
хурдасгал	хурд @@сгах @@л
ноогдлоос	ноогдох @@л @@оос
үдэшлэгээс	үдэшлэг @@ээс
талийгаач	талийх @@гаач
амбаартай	амбаар @@тай
хүнээ	хүнэ @@ээ
эвлэрээсэй	эв @@лэх @@рээсэй
дагалдагчаар	дага @@лдах @@гч @@аар
хэрэгтнээ	хэрэг @@тэн @@ээ
асрыг	асар @@ыг
цуу	цуу
түрээсний	түрээс @@ий
мөнхөжье	мөнх @@жих @@е
илтгэлийн	илтгэх @@л @@ийн
хүсэлтэй	хүсэх @@л @@тэй
талбараар	талбар @@аар
наймааны	наймаа @@ы
ажиглагчаас	ажих @@г @@лах @@гч @@аас
орлох	ор @@лох
зээрэнцгээ	зээрэнцэг @@ээ
хорив	хорих @@в
саадтай	саад @@тай
хөдөлмөрийг	хөдлөх @@мөр @@ийг
лампнаас	ламп @@аас
булангаас	булан @@аас
дамчин	дам @@чин
сэдэгчийг	сэдэх @@гч @@ийг
майонезын	майонез @@ын
хувирлыг	хувь @@рах @@л @@ыг
сэрвээний	сэрвээ @@ий
чиргүүлийг	чирэх @@гүүл @@ийг
тусгалд	тусах @@гал @@д
эвэрлэгийг	эвэр @@лэг @@ийг
соруул	сорох @@уул
доллартой	доллар @@той
таваас	тав @@аас
дизайнер	дизайнер
тавиураас	тавих @@уур @@аас
ардчиллаар	ард @@члах @@л @@аар
дайралтыг	дайн @@рах @@лт @@ыг
бэл	бэл
янжуурын	янжуур @@ын
ваарт	ваар @@т
тэгшитгэл	тэгш @@тгэх @@л
ханшийн	ханш @@ийн
өрцөнд	өрц @@д
үнэгтэй	үнэг @@тэй
зөрөлдөөнөөр	зөрөх @@лдөх @@өөн @@өөр
тангонд	танго @@д
хяналтын	хянах @@лт @@ын
хэрэглэх	хэрэг @@лэх
залгаасаар	залгах @@аас @@ар
паспортоо	паспорт @@оо
эрлээ	эрэл @@ээ
графиктай	график @@тай
хоромд	хором @@д
түших	түших
нумтай	нум @@тай
наймаачинд	наймаа @@чин @@д
ахлагчаас	ах @@лах @@гч @@аас
эдэлгээ	эд @@лэг @@ээ
хөхөвч	хөх @@вч
судлаачаа	судлах @@аач @@аа
араанаас	араа @@аас
хэвлэгчээс	хэв @@лэх @@гч @@ээс
дэлгэрүүлэх	дэлгэх @@рэх @@үүлэх
томоогүй	томоо @@гүй
азотын	азот @@ын
дагаврын	дагах @@вар @@ын
мурийх	мурийх
гомдлоо	гомдол @@оо
хуудуутай	хуудах @@уу @@тай
уршигтай	уршиг @@тай
хараалыг	хараах @@л @@ыг
үсэглэлээ	үсэг @@лэх @@л @@ээ
инженертэй	инженер @@тэй
сүнсээр	сүнс @@ээр
мэнгэнээс	мэнгэ @@ээс
зөрчигч	зөр @@чих @@гч
генералаа	генерал @@аа
томилгоотой	томилох @@гоо @@той
үрчлээтэй	үрчлэх @@ээ @@тэй
андгай	андаг @@ий
медалиас	медаль @@ас
хөндийрье	хөндийнер
холестеринтой	холестерин @@той
мөнгөөр	мөнгө @@өөр
хөнгөхөн	хөнгөх @@өөн
ёсолгоонд	ёс @@лгоо @@д
байг	бай @@г
ритм	ритм
хамтрагчаас	хамтрах @@гч @@аас
махаар	мах @@аар
эвийн	эв @@ийн
ардчиллын	ард @@члах @@л @@ын
шившигтэй	шившиг @@тэй
булчинтай	булчин @@тай
дэлгэцэд	дэлгэх @@ц @@д
сонсогчийг	сонсох @@гч @@ийг
магтаалаас	магтах @@аал @@аас
уранаа	ур @@н @@аа
бөөгнөрлөөр	бөөн @@гнөрөх @@л @@өөр
капитализмд	капитализм @@д
дэгээнээс	дэгээ @@ээс
хөлслөгчийн	хөлс @@лөх @@гч @@ийн
фронтод	фронт @@д
организмтой	организм @@той
холдуулах	холдох @@уулах
мануухайг	мануухай @@г
мэнгэтэй	мэнгэ @@тэй
онош	онош
туслалцааны	тус @@лах @@лцах @@аа @@ы
нэмэгдүүлэх	нэмэх @@гдэх @@үүлэх
магтаалаар	магтах @@аал @@аар
ургамлыг	ургах @@мал @@ыг
хандлагын	хандах @@лага @@ын
ходоодноос	ходоод @@оос
давтамжид	давтах @@мж @@д
жүжигчинтэй	жүжиг @@чин @@тэй
гарын	гар @@ын
давхаргаас	давхар @@га @@аас
судраар	судар @@аар
зорилго	зорих @@лго
шилбэтэй	шилбэ @@тэй
стратегиа	стратеги @@а
шоглоомыг	шог @@лох @@оом @@ыг
шаналалтай	шаналах @@л @@тай
бүлэгтэй	бүлэг @@тэй
бодисоор	бодис @@оор
үед	үед
үнэлэмжээр	үнэ @@лэх @@мж @@ээр
авьяастанд	авьяас @@тан @@д
бондын	бонд @@ын
гайхшруулах	гайх @@ших @@уулах
шүүхийн	шүүх @@ийн
паалантай	паалан @@тай
лууг	луу @@г
баталгааны	баталга @@ы
алтнаас	алт @@аас
оршуулах	орших @@уулах
сэжигтнийг	сэжиг  @@тэн @@ийг
цэргээ	цэрэг @@ээ
чимгийн	чимэг @@ийн
найрамдлаас	найрах @@мдал @@аас
эрхлэгчээ	эрхлэх @@гч @@ээ
философийн	философи @@ийн
харвин	харвин
хоригоос	хорих @@г @@оос
гулсуураа	гулсуур @@аа
давтамжтай	давтах @@мж @@тай
баримтын	барих @@мт @@ын
ёгтлох	ёгт @@лох
бэлтгэлээс	бэлтгэх @@л @@ээс
шохойн	шохой @@н
даяаршцгаа	даяар @@ших @@цгаа
асарт	асар @@т
дарамттай	дарах @@мт @@тай
хайлшны	хайлах @@ш @@ы
байгууллагатай	байх @@уулах @@лага @@тай
сэтгэлийн	сэтгэх @@л @@ийн
явуулгыг	явах @@уулага @@ыг
нумыг	нум @@ыг
түгээсэй	түгээс @@эй
таславч	тас @@лах @@вч
адилслаар	адил @@сах @@л @@аар
дарангуйлагчийг	дарах @@нгуй @@лах @@гч @@ийг
гуйлгачинд	гуй @@лах @@гч @@д
эс	эс
овоо	овоо
гишүүнээс	гишүүн @@ээс
баримжаатай	барих @@мжаа @@тай
эргэлзэлтэй	эргэх @@лзэх @@л @@тэй
бэрээс	бэр @@ээс
бөгж	бөгж
далилзсан	далий @@лзан
судалгаанд	судлах @@гаа @@д
жолоодох	жолоо @@дох
эзлэгч	эзлэх @@гч
худгийг	худаг @@ийг
адилслыг	адил @@сах @@л @@ыг
дээсээр	дээс @@ээр
этгээдтэй	этгээд @@тэй
маажинг	маажин @@г
авхуулсан	авах @@уулах @@сан
бадрах	бад @@рах
хамтрагчаар	хамтрах @@гч @@аар
нийгэмлэг	нийгэх @@мэлэг
ялагдагчийн	ялах @@гдах @@гч @@ийн
атираатай	атирах @@аа @@тай
нум	нум
гөжүүд	гөжүү @@д
гавьяа	гавьяа
харьтын	харьт @@ын
сүүдрэвчид	сүүдэр @@вч @@д
зурвасыг	зурах @@вас @@ыг
жагсаал	жагсах @@аал
элэгдлийг	элэг @@дэх @@л @@ийг
хугарлаа	хугарах @@л @@аа
гүүр	гүүр
нуурт	нуур @@т
эвдчээсэй	эвдэх @@ч @@ээсэй
мэндчилгээтэй	мэнд @@члэх @@гээ @@тэй
төөрөгдлөөс	төөрөх @@гдөх @@л @@өөс
хөшүүргээ	хөших @@үүрэг @@ээ
тэргүүлэгчээс	тэргэх @@үүлэх @@гч @@ээс
номоор	ном @@оор
тэнүүлд	тэнүүх @@л @@д
байлдагч	байлдах @@гч
гаслангийн	гаслан @@ийн
шувуугаар	шувуу @@аар
тархалтаас	тарах @@х @@лт @@аас
экосистемээс	эко @@систем @@ээс
чангарлаар	чанга @@рах @@л @@аар
ханцуйнаас	ханцуй @@аас
агааржуулагчаа	агаар @@жих @@уулах @@гч @@аа
өөхний	өөх @@ий
адыг	ад @@ыг
боловсролт	боловсрох @@лт
цохилтыг	цохих @@лт @@ыг
акт	акт
дэртэй	дэр @@тэй
тэвчээрээ	тэвчих @@ээр @@ээ
удирдамж	удирдах @@мж
гэрэлтүүлэгт	гэрэл @@тэх @@үүлэх @@г @@т
цавиа	цавь @@а
хөхтэй	хөх @@тэй
тивтэй	тив @@тэй
асуудалд	асуух @@дал @@д
нягтшилтай	нягт @@ших @@л @@тай
дүрслэлээр	дүрс @@лэх @@л @@ээр
мэдээний	мэдэх @@ээ @@ий
үерхэлд	үерхэх @@л @@д
гэдэсний	гэдэс @@ий
лактай	лак @@тай
шилжилтээ	шилжих @@лт @@ээ
шүтэлцээгээр	шүтэх @@лцээ @@ээр
хийсвэрлэлд	хийсвэр @@лэх @@л @@д
капитализмаа	капитализм @@аа
шилэлт	шилэх @@лт
адмиралтай	адмирах @@л @@тай
титмийг	титм @@ийг
цэрдээ	цэрд @@ээ
зүйрлэх	зүйр @@лэх
диаметрт	диаметр @@т
хамсаатан	хам @@саа @@тан
тохиролцоог	тохирох @@лцох @@оо @@г
чухал	чухал
видеоноос	видеон @@оос
барменээс	бармен @@ээс
дэлгэрэлтээр	дэлгэх @@рэх @@лт @@ээр
ширгийг	ширэг @@ийг
өнгөнд	өнгө @@д
зодооноо	зодоон @@оо
зоригийн	зорих @@г @@ийн
хорголжийн	хорголж @@ийн
тактиктай	тактик @@тай
урвагчаас	урвах @@гч @@аас
даамжралаар	даамжрах @@л @@аар
могойтой	могой @@той
мөргөлчинтэй	мөргөх @@л @@чин @@тэй
лавлахын	лав @@лах @@ын
байршлаар	байрш @@лах @@аар
индексийг	индекс @@ийг
хондлойд	хондлой @@д
сейф	сейф
үнсэлтээ	үнсэх @@лт @@ээ
амлалтаа	ам @@лах @@лт @@аа
бодролоор	бодорох @@л @@оор
ховилтой	ховил @@той
даажин	даажин
сульдах	суль @@дах
амтанд	амт @@д
шүүмжээс	шүүх @@мж @@ээс
хэлцлээр	хэлцэх @@л @@ээр
мөрдөстэй	мөр @@дөс @@тэй
хамгааллыг	хамгаалах @@л @@ыг
төмсөгтэй	төмсөг @@тэй
гахиурыг	гахиур @@ыг
ханш	ханш
сүнстэй	сүнс @@тэй
эгчийг	эгчий @@ийг
архиа	архи @@а
хилэгнэл	хилэгнэх @@л
хандах	хандах
ажилд	ажил @@д
үргүйдэх	үр @@гүй @@дэх
тохид	тохих @@д
бөмбөгийг	бөмбөг @@ийг
хуй	хуй
сорилттой	сорих @@лт @@той
бололцоо	болох @@лцоо
казиногийн	казино @@ийн
багсаар	багс @@аар
чулуунд	чулуу @@д
нөхөөснөөс	нөхөх @@өөс @@өөс
танкны	танк @@ы
эвслийг	эвсэх @@л @@ийг
дагалдах	дага @@лдах
организмоос	организм @@оос
саун	саун
өв	өв
услагчаар	ус @@лах @@гч @@аар
үүргээр	үүрэг @@ээр
туурайг	туурай @@г
хорхойг	хорхой @@г
цочролыг	цочрох @@л @@ыг
хоршлоос	хорших @@л @@оос
сонсогчоос	сонсох @@гч @@оос
хувьсагчаас	хувь @@сах @@гч @@аас
хоцрогчийн	хоцрох @@гч @@ийн
цардуултай	цардах @@уул @@тай
вирусээр	вирус @@ээр
заламгайгаар	заламгай @@аар
илгээмжийг	илгээх @@мж @@ийг
болзох	болзох
засварчинд	засвар @@чин @@д
амьжиргаа	амьжих @@ргаа
сэвийн	сэв @@ийн
зараатай	зараа @@тай
туурайтай	туурай @@тай
төвлөрлөөр	төв @@лрөх @@л @@өөр
эвдэчвэл	эвдэх @@чих @@вэл
шаазангийн	шаазан @@ийн
сэжүүр	сэжүүр
төр	төр
өмч	өмч
хурданд	хурд @@д
бэлэгт	бэлэг @@т
уйтгараас	уйтгар @@аас
материализм	материализм
